Project_ID,Project_Type,Location_Zone,Land_Type,Land_Area_Acres,Number_of_Owners,Number_of_Parcels,Legal_Cases,Ownership_Disputes,Documents_Missing,Objections_Received,Affected_Families,Rehabilitation_Required,Government_Clearances,Compensation_Dispute,Previous_Acquisition_Delay,Planned_Duration_Days,Approval_Days,Actual_Duration_Days,Delayed
LA00056,Airport,Urban,Residential,14.2,10.0,15,0.0,0,0.0,3,14,No,4,No,Yes,467,31.0,462,0
LA00057,Railway,Semi-Urban,Residential,5.91,11.0,15,0.0,1,2.0,3,13,Yes,2,No,No,290,91.0,366,1
LA00058,Industrial,Semi-Urban,Agricultural,20.34,4.0,6,2.0,3,1.0,2,10,No,5,No,No,364,69.0,461,1
LA00059,Road,Semi-Urban,Commercial,22.43,9.0,14,1.0,3,1.0,2,13,No,1,No,No,330,82.0,325,0
LA00060,Road,Urban,Mixed,11.17,9.0,13,2.0,3,1.0,4,12,Yes,7,No,No,407,106.0,489,1
LA00061,Industrial,Urban,Mixed,36.53,8.0,10,0.0,1,1.0,1,14,Yes,5,No,Yes,220,63.0,220,0
LA00062,Railway,Urban,Agricultural,,6.0,11,1.0,1,1.0,2,11,No,2,Yes,Yes,247,77.0,349,1
LA00063,Industrial,Urban,Mixed,8.78,4.0,11,1.0,2,1.0,4,7,No,3,No,Yes,178,32.0,181,0
LA00064,Airport,Urban,Residential,54.29,7.0,14,1.0,0,1.0,4,13,No,3,No,No,326,66.0,497,1
LA00065,Industrial,Rural,Agricultural,16.56,8.0,13,0.0,2,2.0,3,11,Yes,3,No,Yes,364,64.0,351,0
LA00066,Industrial,Semi-Urban,Mixed,22.15,7.0,13,1.0,2,0.0,4,13,No,7,No,No,226,71.0,250,0
LA00067,Industrial,Semi-Urban,Agricultural,47.05,8.0,12,2.0,0,3.0,3,10,No,5,Yes,Yes,265,76.0,267,0
LA00068,Road,Semi-Urban,Mixed,22.31,8.0,12,1.0,3,1.0,4,14,No,4,No,No,538,53.0,540,0
LA00069,Road,Urban,Residential,13.56,8.0,12,2.0,2,1.0,6,12,No,5,No,No,376,112.0,553,1
LA00070,Railway,Semi-Urban,Residential,35.02,10.0,13,1.0,1,0.0,2,17,No,6,No,No,308,15.0,434,1
LA00071,Road,Urban,Agricultural,68.56,11.0,13,1.0,3,1.0,7,17,No,6,No,Yes,362,50.0,483,1
LA00072,Railway,Urban,Mixed,63.12,6.0,11,0.0,1,2.0,3,12,Yes,1,No,Yes,426,92.0,491,1
LA00073,Housing,Semi-Urban,Agricultural,,9.0,14,0.0,1,0.0,2,15,No,4,Yes,No,499,70.0,582,1
LA00074,Road,Semi-Urban,Mixed,15.57,10.0,17,0.0,0,,1,14,Yes,3,No,Yes,357,60.0,467,1
LA00075,Road,Rural,Residential,18.35,11.0,12,2.0,0,3.0,5,15,No,5,No,Yes,344,90.0,429,1
LA00076,Road,Urban,Commercial,63.57,9.0,11,0.0,1,4.0,3,10,No,4,No,Yes,293,77.0,282,0
LA00077,Road,Semi-Urban,Agricultural,18.1,5.0,11,0.0,1,2.0,4,10,No,10,No,No,343,,347,0
LA00078,Industrial,Urban,Residential,89.89,12.0,19,2.0,2,2.0,1,15,Yes,3,Yes,No,580,111.0,641,1
LA00079,Industrial,Urban,Commercial,46.64,10.0,14,1.0,0,0.0,0,16,Yes,5,Yes,No,495,57.0,561,1
LA00080,Airport,Rural,Commercial,32.17,9.0,14,2.0,0,2.0,4,14,No,3,No,No,401,70.0,384,0
LA00081,Industrial,Urban,Agricultural,20.41,10.0,14,0.0,1,0.0,5,12,No,2,Yes,Yes,545,38.0,683,1
LA00082,Railway,Semi-Urban,Residential,35.36,7.0,12,2.0,0,1.0,1,8,No,5,No,No,306,82.0,403,1
LA00083,Housing,Semi-Urban,Residential,13.49,9.0,11,0.0,2,3.0,1,15,No,3,Yes,No,320,73.0,509,1
LA00084,Road,Urban,Mixed,9.05,8.0,11,1.0,4,2.0,3,8,Yes,5,No,Yes,354,114.0,462,1
LA00085,Road,Rural,Commercial,46.95,5.0,9,0.0,2,1.0,4,9,Yes,2,No,No,436,88.0,484,1
LA00086,Road,Semi-Urban,Mixed,32.07,9.0,10,1.0,0,3.0,3,13,No,7,Yes,No,290,58.0,409,1
LA00087,Airport,Rural,Commercial,55.64,7.0,10,1.0,2,3.0,6,10,Yes,3,No,Yes,304,97.0,454,1
LA00088,Railway,Semi-Urban,Mixed,40.46,8.0,9,,3,0.0,6,13,No,3,Yes,No,407,58.0,413,0
LA00089,Road,Rural,Residential,20.15,6.0,9,2.0,0,0.0,3,9,Yes,6,No,Yes,374,42.0,383,0
LA00090,Railway,Urban,Agricultural,63.07,11.0,15,1.0,1,1.0,1,12,No,6,Yes,No,170,47.0,290,1
LA00091,Road,Semi-Urban,Commercial,22.08,12.0,15,0.0,0,1.0,1,15,No,4,No,Yes,375,68.0,455,1
LA00092,Industrial,Rural,Residential,75.0,12.0,15,0.0,1,1.0,2,15,Yes,2,No,Yes,120,78.0,207,1
LA00093,Railway,Urban,Residential,21.54,7.0,7,3.0,1,0.0,3,14,Yes,2,No,No,212,52.0,297,1
LA00094,Railway,Semi-Urban,Commercial,10.5,12.0,15,,1,1.0,4,13,No,2,No,No,288,60.0,299,0
LA00095,Road,Rural,Mixed,83.92,7.0,12,0.0,4,0.0,2,15,No,2,No,Yes,369,67.0,475,1
LA00096,Industrial,Semi-Urban,Commercial,20.96,3.0,5,2.0,2,2.0,5,7,No,4,,No,370,52.0,366,0
LA00097,Railway,Semi-Urban,Residential,22.15,5.0,7,2.0,1,1.0,5,9,No,4,No,No,403,40.0,411,0
LA00098,Road,Semi-Urban,Mixed,10.93,6.0,9,0.0,1,1.0,4,10,Yes,5,No,No,478,103.0,544,1
LA00099,Road,Rural,Residential,30.16,9.0,17,3.0,3,1.0,4,12,No,3,No,No,548,86.0,669,1
LA00100,Housing,Rural,Residential,,7.0,11,2.0,2,2.0,3,14,No,5,No,Yes,301,75.0,461,1
LA00101,Housing,Semi-Urban,Mixed,80.75,5.0,12,1.0,0,0.0,1,8,No,2,Yes,No,364,32.0,368,0
LA00102,Industrial,Urban,Mixed,24.79,9.0,13,1.0,1,1.0,3,16,No,3,No,No,441,,441,0
LA00103,Road,Urban,Mixed,15.82,8.0,15,0.0,2,0.0,0,9,Yes,4,Yes,No,343,31.0,353,0
LA00104,Housing,Semi-Urban,Mixed,34.11,6.0,8,1.0,1,3.0,4,10,Yes,3,No,No,254,120.0,373,1
LA00105,Airport,Rural,Commercial,127.45,7.0,10,0.0,0,3.0,2,10,No,3,No,No,390,37.0,380,0
LA00106,Airport,Semi-Urban,Residential,35.24,7.0,14,0.0,2,3.0,3,14,No,6,No,No,478,52.0,465,0
LA00107,Railway,Urban,Agricultural,27.45,7.0,11,1.0,1,1.0,2,12,No,4,No,No,414,16.0,449,0
LA00108,Road,Urban,Mixed,33.53,9.0,15,2.0,1,2.0,1,14,Yes,4,No,Yes,263,89.0,476,1
LA00109,Road,Semi-Urban,Mixed,57.54,9.0,14,1.0,1,0.0,1,15,Yes,5,Yes,No,409,86.0,482,1
LA00110,Housing,Rural,Agricultural,54.07,10.0,15,0.0,0,0.0,1,13,Yes,1,No,No,361,71.0,360,0
LA00111,Railway,Urban,Agricultural,39.61,9.0,11,0.0,0,0.0,3,15,Yes,7,No,No,240,99.0,234,0
LA00112,Road,Semi-Urban,Residential,64.8,4.0,7,1.0,4,,1,8,Yes,3,Yes,No,346,124.0,349,0
LA00113,Road,Rural,Agricultural,34.9,4.0,6,1.0,1,1.0,1,6,Yes,2,Yes,No,268,25.0,272,0
LA00114,Industrial,Rural,Mixed,29.19,6.0,7,1.0,2,1.0,0,8,Yes,2,No,Yes,419,76.0,567,1
LA00115,Road,Urban,Residential,34.35,8.0,10,2.0,0,2.0,6,9,No,2,Yes,No,482,62.0,512,0
LA00116,Housing,Rural,Agricultural,21.65,12.0,13,0.0,0,0.0,1,13,Yes,2,No,No,336,34.0,328,0
LA00117,Airport,Semi-Urban,Mixed,58.36,12.0,14,1.0,0,2.0,2,17,No,6,No,No,353,53.0,335,0
LA00118,Airport,Rural,Agricultural,20.83,5.0,10,0.0,2,2.0,0,10,Yes,6,Yes,No,338,78.0,426,1
LA00119,Railway,Urban,Agricultural,5.12,11.0,14,0.0,0,1.0,4,16,No,2,No,No,345,81.0,337,0
LA00120,Industrial,Semi-Urban,Agricultural,9.0,7.0,12,1.0,3,0.0,0,8,No,4,No,No,225,45.0,225,0
LA00121,Industrial,Semi-Urban,Residential,42.45,10.0,14,1.0,1,1.0,7,13,Yes,5,Yes,No,326,72.0,440,1
LA00122,Industrial,Urban,Residential,18.19,9.0,13,0.0,1,3.0,6,12,No,3,No,No,465,39.0,492,0
LA00123,Road,Semi-Urban,Residential,54.93,6.0,10,1.0,0,0.0,3,11,Yes,2,Yes,Yes,483,44.0,578,1
LA00124,Railway,Semi-Urban,Residential,32.29,9.0,14,2.0,1,2.0,5,16,No,5,No,Yes,331,89.0,314,0
LA00125,Road,Semi-Urban,Residential,58.07,9.0,14,1.0,0,,0,13,Yes,3,Yes,No,228,59.0,236,0
LA00126,Railway,Urban,Agricultural,5.66,7.0,14,3.0,0,1.0,4,10,No,5,No,No,567,75.0,570,0
LA00127,Road,Semi-Urban,Residential,20.71,7.0,7,3.0,0,0.0,0,9,No,6,No,No,282,43.0,372,1
LA00128,Road,Urban,Mixed,15.4,13.0,18,2.0,0,1.0,3,16,Yes,3,No,No,414,67.0,431,0
LA00129,Road,Rural,Residential,143.5,5.0,7,1.0,2,1.0,5,10,No,2,No,No,319,25.0,410,1
LA00130,Industrial,Rural,Agricultural,23.51,7.0,10,0.0,2,0.0,1,13,Yes,3,No,No,476,91.0,589,1
LA00131,Road,Urban,Mixed,,5.0,8,2.0,0,0.0,3,8,No,2,No,No,413,57.0,501,1
LA00132,Housing,Urban,Residential,41.9,7.0,12,1.0,0,0.0,2,8,No,3,No,Yes,476,38.0,466,0
LA00133,Industrial,Urban,Agricultural,,2.0,4,1.0,3,1.0,2,8,Yes,3,No,No,458,75.0,579,1
LA00134,Road,Semi-Urban,Mixed,62.13,9.0,11,1.0,1,0.0,4,15,Yes,5,No,No,421,79.0,529,1
LA00135,Industrial,Rural,Agricultural,69.09,4.0,5,3.0,2,2.0,2,7,No,6,No,No,445,102.0,626,1
LA00136,Road,Semi-Urban,Residential,15.52,7.0,14,3.0,0,0.0,4,12,No,2,No,No,340,54.0,357,0
LA00137,Housing,Urban,Commercial,18.62,6.0,10,0.0,1,2.0,2,14,Yes,3,Yes,No,485,49.0,511,0
LA00138,Railway,Urban,Commercial,39.21,16.0,17,2.0,2,2.0,5,19,No,6,No,No,448,67.0,553,1
LA00139,Airport,Urban,Agricultural,63.35,5.0,15,2.0,1,1.0,3,7,No,2,Yes,No,365,52.0,486,1
LA00140,Road,Rural,Residential,42.43,6.0,11,0.0,1,0.0,1,11,Yes,3,No,No,475,55.0,476,0
LA00141,Railway,Semi-Urban,Residential,23.54,10.0,17,2.0,1,1.0,4,12,No,3,No,Yes,385,87.0,463,1
LA00142,Railway,Semi-Urban,Mixed,10.56,5.0,8,1.0,1,0.0,3,9,Yes,3,No,No,548,55.0,612,1
LA00143,Housing,Urban,Agricultural,95.16,5.0,10,1.0,1,0.0,2,7,No,2,No,No,381,43.0,390,0
LA00144,Industrial,Rural,Residential,43.14,18.0,19,2.0,0,2.0,2,22,Yes,5,No,No,369,62.0,347,0
LA00145,Railway,Urban,Agricultural,108.29,17.0,22,2.0,2,0.0,2,25,Yes,4,No,Yes,339,95.0,339,0
LA00146,Road,Rural,Mixed,47.48,9.0,11,1.0,1,1.0,5,10,Yes,4,No,Yes,329,45.0,422,1
LA00147,Road,Rural,Residential,99.28,9.0,14,2.0,0,1.0,2,12,Yes,2,Yes,Yes,331,61.0,405,1
LA00148,Railway,Semi-Urban,Residential,17.26,9.0,11,1.0,2,3.0,2,11,Yes,4,No,No,333,87.0,416,1
LA00149,Railway,Rural,Agricultural,18.33,6.0,9,3.0,1,0.0,1,9,Yes,3,No,No,241,98.0,314,1
LA00150,Road,Urban,Commercial,28.36,10.0,14,0.0,2,0.0,3,15,Yes,7,Yes,No,252,56.0,242,0
LA00151,Housing,Semi-Urban,Agricultural,16.14,9.0,12,3.0,1,2.0,4,14,Yes,4,No,No,345,124.0,405,1
LA00152,Housing,Urban,Mixed,7.57,8.0,12,1.0,0,2.0,2,12,No,3,No,No,352,56.0,446,1
LA00153,Road,Semi-Urban,Residential,19.92,13.0,19,3.0,0,3.0,4,21,No,4,No,No,168,40.0,342,1
LA00154,Industrial,Urban,Agricultural,47.02,5.0,6,1.0,1,3.0,6,11,Yes,2,Yes,No,377,89.0,497,1
LA00155,Road,Urban,Agricultural,11.75,4.0,10,0.0,1,1.0,3,5,Yes,4,No,No,223,69.0,276,1
LA00156,Industrial,Urban,Agricultural,12.95,12.0,14,2.0,2,2.0,2,14,Yes,2,No,Yes,284,68.0,364,1
LA00157,Road,Urban,Agricultural,20.95,12.0,15,1.0,3,0.0,2,19,No,4,No,Yes,369,77.0,515,1
LA00158,Industrial,Semi-Urban,Mixed,14.67,9.0,13,3.0,3,0.0,2,13,No,3,Yes,Yes,298,81.0,438,1
LA00159,Airport,Semi-Urban,Agricultural,21.9,9.0,14,0.0,2,3.0,4,13,No,1,No,No,275,72.0,262,0
LA00160,Airport,Urban,Commercial,29.95,6.0,11,2.0,0,0.0,4,8,Yes,4,No,No,415,58.0,438,0
LA00161,Road,Rural,Residential,12.48,10.0,14,1.0,2,4.0,2,12,No,3,No,No,572,50.0,689,1
LA00162,Housing,Rural,Agricultural,21.33,12.0,14,1.0,1,3.0,6,15,Yes,3,No,No,435,109.0,517,1
LA00163,Road,Urban,Agricultural,31.97,7.0,13,0.0,1,1.0,7,14,No,4,Yes,No,463,77.0,551,1
LA00164,Road,Semi-Urban,Agricultural,16.69,4.0,7,1.0,0,2.0,2,6,No,5,Yes,Yes,372,24.0,386,0
LA00165,Industrial,Semi-Urban,Residential,10.56,10.0,12,3.0,1,2.0,1,15,No,5,No,No,314,58.0,290,0
LA00166,Railway,Rural,Mixed,17.72,7.0,8,1.0,0,3.0,2,11,No,8,No,Yes,172,,187,0
LA00167,Housing,Semi-Urban,Mixed,24.58,13.0,16,0.0,1,0.0,4,15,No,3,Yes,No,351,66.0,433,1
LA00168,Housing,Rural,Mixed,7.18,6.0,10,1.0,1,3.0,5,12,No,3,No,No,471,80.0,616,1
LA00169,Road,Urban,Mixed,47.51,6.0,8,1.0,0,1.0,5,9,No,5,No,No,217,21.0,229,0
LA00170,Housing,Urban,Residential,25.6,11.0,13,2.0,2,2.0,3,15,Yes,7,Yes,No,336,95.0,432,1
LA00171,Road,Rural,Agricultural,17.8,5.0,12,0.0,5,1.0,5,9,No,4,No,No,433,61.0,573,1
LA00172,Railway,Semi-Urban,Agricultural,8.36,11.0,13,3.0,0,2.0,3,16,No,5,,No,363,67.0,362,0
LA00173,Road,Rural,Mixed,43.42,9.0,12,0.0,1,3.0,1,13,Yes,3,No,Yes,397,65.0,461,1
LA00174,Housing,Urban,Residential,69.55,13.0,16,2.0,1,0.0,4,16,Yes,2,Yes,No,514,117.0,522,0
LA00175,Road,Urban,Residential,20.58,6.0,12,1.0,1,1.0,4,11,No,4,Yes,Yes,334,53.0,441,1
LA00176,Road,Urban,Commercial,102.24,10.0,11,0.0,3,1.0,3,13,No,6,Yes,Yes,376,74.0,502,1
LA00177,Railway,Urban,Residential,30.88,10.0,17,2.0,0,4.0,6,13,Yes,3,No,No,499,103.0,648,1
LA00178,Housing,Urban,Commercial,31.71,10.0,15,2.0,1,1.0,0,14,Yes,5,No,No,416,70.0,592,1
LA00179,Housing,Semi-Urban,Residential,56.68,12.0,20,0.0,1,,2,17,Yes,2,No,Yes,291,91.0,375,1
LA00180,Airport,Semi-Urban,Commercial,45.0,5.0,8,2.0,0,3.0,1,6,No,6,,No,382,49.0,388,0
LA00181,Housing,Semi-Urban,Mixed,11.68,7.0,10,0.0,3,2.0,4,9,No,4,Yes,Yes,512,84.0,593,1
LA00182,Housing,Semi-Urban,Commercial,19.97,11.0,14,0.0,1,1.0,4,16,No,3,No,No,410,89.0,421,0
LA00183,Railway,Urban,Residential,63.22,7.0,10,0.0,2,,6,9,Yes,4,No,Yes,285,62.0,397,1
LA00184,Road,Semi-Urban,Residential,45.63,7.0,10,0.0,1,1.0,3,12,No,1,Yes,No,279,47.0,500,1
LA00185,Airport,Urban,Residential,102.85,10.0,14,1.0,1,2.0,4,14,No,6,Yes,No,366,64.0,569,1
LA00186,Industrial,Rural,Residential,40.9,12.0,13,0.0,1,0.0,3,18,Yes,2,Yes,No,334,37.0,320,0
LA00187,Railway,Urban,Agricultural,46.7,6.0,9,1.0,1,1.0,2,10,Yes,4,No,No,500,91.0,584,1
LA00188,Road,Semi-Urban,Agricultural,17.67,7.0,9,0.0,0,1.0,2,12,Yes,4,No,No,430,66.0,529,1
LA00189,Airport,Rural,Residential,68.84,4.0,7,1.0,1,2.0,4,6,No,4,Yes,No,501,70.0,508,0
LA00190,Road,Semi-Urban,Residential,3.51,9.0,16,,1,1.0,2,11,No,5,Yes,No,329,75.0,326,0
LA00191,Housing,Semi-Urban,Mixed,35.78,5.0,12,1.0,2,0.0,4,8,No,2,No,No,357,79.0,366,0
LA00192,Road,Semi-Urban,Residential,47.66,6.0,11,1.0,1,2.0,7,9,No,8,No,No,430,85.0,444,0
LA00193,Road,Urban,Agricultural,39.03,5.0,11,2.0,0,3.0,2,10,No,5,No,No,381,66.0,357,0
LA00194,Housing,Semi-Urban,Agricultural,31.07,6.0,12,1.0,1,1.0,2,9,No,5,No,No,473,58.0,475,0
LA00195,Road,Rural,Residential,28.56,9.0,14,0.0,1,0.0,6,16,No,8,Yes,No,313,60.0,297,0
LA00196,Road,Rural,Mixed,32.01,5.0,10,0.0,0,1.0,3,11,No,2,No,No,519,59.0,528,0
LA00197,Industrial,Semi-Urban,Residential,13.34,7.0,12,2.0,1,2.0,3,12,Yes,1,,No,323,,457,1
LA00198,Housing,Urban,Commercial,38.89,10.0,18,4.0,3,0.0,2,15,No,5,Yes,No,241,65.0,233,0
LA00199,Road,Rural,Commercial,17.84,5.0,10,1.0,2,1.0,5,10,Yes,4,Yes,No,289,65.0,369,1
LA00200,Road,Semi-Urban,Mixed,20.59,13.0,21,4.0,3,0.0,1,14,No,6,Yes,Yes,397,62.0,561,1
LA00201,Airport,Urban,Commercial,12.06,10.0,15,2.0,0,4.0,3,13,No,2,No,No,389,61.0,522,1
LA00202,Housing,Urban,Mixed,150.0,3.0,5,2.0,3,1.0,0,10,No,5,Yes,No,402,54.0,408,0
LA00203,Railway,Urban,Agricultural,36.99,10.0,16,3.0,1,2.0,1,17,No,5,No,Yes,479,99.0,555,1
LA00204,Road,Semi-Urban,Agricultural,9.92,7.0,15,1.0,1,2.0,2,10,No,4,No,No,510,38.0,501,0
LA00205,Road,Urban,Commercial,34.31,6.0,12,1.0,0,1.0,2,8,No,3,Yes,Yes,364,85.0,437,1
LA00206,Road,Urban,Agricultural,68.34,12.0,14,0.0,1,1.0,2,16,No,6,Yes,No,366,78.0,368,0
LA00207,Road,Urban,Agricultural,38.58,9.0,10,2.0,0,2.0,2,12,No,3,No,No,225,74.0,240,0
LA00208,Industrial,Rural,Residential,30.47,2.0,10,0.0,0,2.0,2,6,Yes,1,Yes,No,395,89.0,459,1
LA00209,Road,Urban,Residential,16.66,10.0,11,1.0,0,1.0,1,13,No,3,No,No,401,25.0,486,1
LA00210,Railway,Urban,Agricultural,38.63,8.0,13,1.0,0,1.0,1,9,Yes,3,No,No,143,96.0,263,1
LA00211,Industrial,Semi-Urban,Residential,52.78,8.0,10,0.0,0,0.0,4,15,No,2,Yes,No,401,58.0,494,1
LA00212,Industrial,Urban,Agricultural,53.16,13.0,15,2.0,3,0.0,4,19,No,3,No,Yes,518,59.0,513,0
LA00213,Road,Rural,Residential,36.11,2.0,3,3.0,1,0.0,2,10,No,5,No,No,452,71.0,441,0
LA00214,Housing,Rural,Agricultural,36.03,12.0,17,0.0,1,2.0,1,15,No,3,Yes,No,330,27.0,398,1
LA00215,Airport,Semi-Urban,Commercial,75.81,6.0,9,0.0,1,2.0,3,10,No,3,No,No,573,61.0,590,0
LA00216,Airport,Semi-Urban,Agricultural,70.68,12.0,18,1.0,3,2.0,4,17,Yes,7,Yes,No,329,97.0,348,0
LA00217,Road,Semi-Urban,Commercial,27.37,7.0,14,3.0,0,0.0,2,10,No,4,No,No,348,69.0,373,0
